Celerity_300M	Celerity_500M	Celerity_900M	Celerity_1.8B	Celerity_3.8B	Celerity_SPJ_300M	Celerity_SPJ_900M	OLMo-1B-hf	OLMo-7B	OLMo-2-0425-1B	OLMo-2-1124-7B	OLMo-2-1124-13B	OLMo-2-0325-32B	Qwen3-0.6B-Base	Qwen3-1.7B-Base	Qwen3-4B-Base	Qwen3-8B-Base	Qwen3-14B-Base	Qwen2.5-0.5B	Qwen2.5-1.5B	Qwen2.5-3B	Qwen2.5-7B	Qwen2.5-14B	Qwen2.5-32B	gemma-3-1b-pt	gemma-3-4b-pt	gemma-3-12b-pt	gemma-3-27b-pt	gemma-3-1b-pt+forward	gemma-3-1b-pt+forward+teacher	gemma-3-4b-pt+forward	gemma-3-4b-pt+forward+teacher	gemma-3-12b-pt+forward	gemma-3-12b-pt+forward+teacher	gemma-2-2b	gemma-2-9b	gemma-2-27b	gemma-2-2b+forward	gemma-2-2b+forward+teacher	gemma-2-9b+forward	gemma-2-9b+forward+teacher	Zamba2-1.2B	Zamba2-2.7B	Zamba2-7B	phi-1	phi-1_5	phi-2	phi-4	huggyllama/llama-7b	huggyllama/llama-13b	Llama-2-7b-hf	Llama-2-13b-hf	Meta-Llama-3-8B	Llama-3.1-8B	Llama-3.2-1B	Llama-3.2-3B	Cerebras-GPT-111M	Cerebras-GPT-256M	Cerebras-GPT-590M	Cerebras-GPT-1.3B	Cerebras-GPT-2.7B	Cerebras-GPT-6.7B	Cerebras-GPT-13B	btlm-3b-8k-base	SmolLM-135M	SmolLM-360M	SmolLM-1.7B	SmolLM2-135M	SmolLM2-360M	SmolLM2-1.7B	SmolLM3-3B-Base	jais-family-590m	jais-family-1p3b	jais-family-2p7b	jais-family-6p7b	jais-family-13b
1.47E+20	5.15E+20	1.68E+21	6.54E+21	2.89E+22	1.46E+20	1.68E+21	1.56E+22	1.26E+23	3.04E+22	2.03E+23	4.67E+23	1.30E+24	5.31E+23	1.18E+24	2.19E+24	3.90E+24	6.09E+24	2.04E+23	1.38E+24	8.51E+23	3.62E+24	8.58E+24	1.29E+25	3.48E+22	1.72E+23	1.34E+24	3.33E+24	1.16E+24	4.49E+24	1.30E+24	4.63E+24	2.46E+24	5.80E+24	4.25E+22	5.73E+23	2.44E+24	8.66E+23	3.31E+24	1.40E+24	3.84E+24	3.86E+23	4.77E+23	7.68E+23	5.08E+20	1.41E+21	2.69E+22	1.30E+24	4.82E+22	8.90E+22	1.03E+23	1.88E+23	9.46E+23	3.85E+24	5.29E+23	1.40E+24	1.81E+18	9.73E+18	5.10E+19	2.45E+20	1.04E+21	6.16E+21	2.28E+22	1.55E+22	1.51E+21	3.16E+21	1.54E+22	2.48E+21	1.20E+22	1.21E+23	8.56E+23	2.02E+21	4.45E+21	9.14E+21	2.21E+22	4.25E+22
1.26E+20	4.61E+20	1.56E+21	6.21E+21	2.80E+22	1.26E+20	1.56E+21	1.48E+22	1.24E+23	2.71E+22	1.97E+23	4.56E+23	1.29E+24	5.09E+23	1.14E+24	2.14E+24	3.81E+24	5.98E+24	1.94E+23	1.36E+24	8.29E+23	3.58E+24	8.52E+24	1.28E+25	3.24E+22	1.61E+23	1.29E+24	3.25E+24	1.09E+24	4.34E+24	1.22E+24	4.47E+24	2.35E+24	5.60E+24	3.77E+22	5.44E+23	2.38E+24	8.10E+23	3.19E+24	1.32E+24	3.70E+24	3.85E+23	4.75E+23	7.66E+23	4.85E+20	1.35E+21	2.62E+22	1.27E+24	4.77E+22	8.83E+22	1.02E+23	1.87E+23	9.14E+23	3.81E+24	5.20E+23	1.38E+24	1.46E+18	8.61E+18	4.73E+19	2.34E+20	1.01E+21	6.05E+21	2.26E+22	1.51E+22	1.44E+21	3.05E+21	1.50E+22	2.25E+21	1.12E+22	1.19E+23	8.44E+23	1.77E+21	4.11E+21	8.72E+21	2.14E+22	4.16E+22
27.82	34.39	39.68	48.55	54.01	24.32	30.89	34.47	45.14	45.39	64.51	66.13	69.45	44.80	55.20	64.42	67.24	69.97	35.24	54.86	56.31	63.65	67.58	70.65	39.16	58.28	67.49	70.31	39.16	39.16	58.28	58.28	67.49	67.49	53.41	68.34	69.62	53.41	53.41	68.34	68.34	53.92	60.67	68.34	20.65	54.01	61.35	68.00	50.77	55.55	52.65	59.47	58.19	57.85	39.59	50.68	20.82	21.59	24.15	26.79	29.52	36.01	36.95	40.70	32.00	38.65	49.40	33.02	40.78	53.50	59.81	28.24	34.56	38.82	43.00	46.93
50.63	56.06	64.52	70.29	75.55	42.17	54.67	57.28	68.77	73.36	82.87	81.31	85.94	58.00	68.60	75.93	79.88	81.86	58.54	72.10	73.02	77.48	79.25	77.99	71.93	81.69	87.75	88.17	71.93	71.93	81.69	81.69	87.75	87.75	80.22	87.88	88.30	80.22	80.22	87.88	87.88	66.71	73.82	80.39	34.64	73.11	78.37	72.69	72.90	74.54	74.54	77.53	77.61	81.19	60.61	71.84	34.89	37.54	41.25	45.83	52.57	57.91	60.02	66.79	56.14	63.59	73.57	58.38	68.22	73.27	76.85	48.82	57.07	61.99	68.06	70.37
52.75	61.22	47.92	65.17	66.61	61.53	55.47	61.74	72.45	63.03	80.00	73.91	82.81	69.82	79.24	82.91	83.09	86.76	61.47	72.48	77.43	84.65	85.35	87.49	66.67	78.96	85.41	87.25	66.67	66.67	78.96	78.96	85.41	85.41	73.58	84.22	84.83	73.58	73.58	84.22	84.22	70.18	78.07	83.70	45.29	74.95	83.33	86.33	75.05	77.98	77.71	80.58	80.95	82.05	63.91	72.75	62.14	61.50	59.17	59.33	59.24	62.81	61.44	69.72	60.09	55.05	66.15	60.06	61.56	72.32	80.49	60.06	62.39	67.16	71.16	74.31
37.57	45.96	55.02	64.34	72.19	36.04	53.74	63.81	77.13	68.71	81.93	84.99	87.33	53.46	67.19	75.64	79.55	82.69	51.83	67.86	74.54	80.19	84.21	85.16	62.98	77.78	84.12	86.14	62.98	62.98	77.78	77.78	84.12	84.12	74.62	82.76	87.00	74.62	74.62	82.76	82.76	72.21	77.72	83.53	30.64	64.03	75.26	84.52	77.84	81.18	78.98	82.23	82.10	81.91	65.51	76.42	27.11	29.23	32.47	38.55	49.74	59.45	60.33	70.92	42.92	54.24	67.33	43.64	57.46	73.16	77.18	46.87	56.46	63.41	70.73	73.31
66.21	69.31	72.03	75.46	77.97	65.56	71.00	75.14	79.43	75.63	81.01	82.15	82.97	69.80	75.52	77.86	79.54	82.10	69.80	75.90	78.67	79.82	82.43	82.43	74.54	79.87	81.88	83.95	74.54	74.54	79.87	79.87	81.88	81.88	79.11	82.97	84.44	79.11	79.11	82.97	82.97	77.20	79.49	80.69	56.15	75.52	79.33	81.07	79.00	80.36	79.11	80.52	80.69	81.01	74.27	77.37	58.11	61.43	62.84	66.76	70.78	73.99	75.08	77.20	68.01	71.44	75.95	68.12	71.76	77.53	79.11	67.95	71.55	73.83	75.95	77.42
37.77	40.23	41.97	42.99	44.73	37.97	40.89	42.12	44.52	43.76	51.33	52.05	54.25	43.30	48.62	50.00	54.76	55.89	44.17	49.08	49.80	54.61	55.48	56.29	42.78	49.13	52.15	53.99	42.78	42.78	49.13	49.13	52.15	52.15	51.23	55.48	54.55	51.23	51.23	55.48	55.48	46.42	45.50	49.90	36.64	52.61	55.68	52.25	45.91	46.62	46.11	47.34	47.08	46.98	42.99	47.39	35.52	36.80	36.03	38.59	40.23	41.50	42.02	43.50	39.56	40.99	43.35	39.25	40.89	44.52	46.78	39.92	41.86	41.91	43.86	45.39
52.25	52.64	58.48	60.22	65.90	50.99	57.46	60.46	70.96	65.90	77.03	83.03	83.90	60.46	65.27	72.61	77.19	79.48	56.59	65.27	71.67	76.40	81.06	82.08	62.19	72.22	80.03	82.95	62.19	62.19	72.22	72.22	80.03	80.03	71.51	80.35	83.03	71.51	71.51	80.35	80.35	68.98	76.01	79.72	48.38	71.74	73.72	80.19	71.11	76.95	74.19	76.16	77.51	77.19	62.27	71.82	48.78	50.99	49.72	51.70	54.85	59.98	58.96	65.90	52.25	57.14	61.72	53.12	58.41	68.35	73.40	55.25	59.19	62.35	66.22	68.43
25.72	24.95	25.05	26.29	46.13	25.42	23.79	26.07	28.46	42.57	62.85	66.88	74.37	52.51	62.56	73.05	76.83	80.55	47.71	60.85	65.57	74.25	79.78	83.21	26.24	59.57	73.57	78.29	26.24	26.24	59.57	59.57	73.57	73.57	53.14	70.50	75.25	53.14	53.14	70.50	70.50	43.75	47.30	65.60	24.78	42.49	56.81	80.34	34.45	46.28	45.84	55.14	65.33	65.02	31.14	56.20	25.88	26.84	25.84	26.70	25.45	26.11	26.20	27.15	25.81	26.13	29.21	25.49	24.92	50.08	61.56	26.37	25.56	26.80	32.39	38.29
